FitFileName	TrG	Start1	End1	Start2	End2	Start3	End3	Start4	End4
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF1_mode_1_fs_20mK.dat	5.90	127	176	NaN	NaN	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF1_mode_1_fs_320mK.dat	4.50	183	198	200	213	231	268	280	298
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF1_mode_1_fs_510mK.dat	4.85	303	343	345	382	388	406	408	427
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF1_mode_1_fs_620mK.dat	4.85	444	481	487	524	534	571	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF1_mode_1_fs_750mK.dat	4.85	630	667	678	715	725	758	761	764
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF1_mode_1_fs_910mK.dat	4.85	773	811	815	852	858	896	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF1_mode_1_fs_1110mK.dat	4.85	937	975	981	1018	1025	1062	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_1_fs_20mK.dat	7.31	2	49	NaN	NaN	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_1_fs_320mK.dat	7.31	278	315	319	356	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_1_fs_510mK.dat	7.31	523	548	550	587	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_1_fs_620mK.dat	7.31	728	759	863	888	890	901	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_1_fs_750mK.dat	7.31	1023	1050	1059	1084	1086	1086	1089	1126
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_1_fs_910mK.dat	7.31	1257	1288	1293	1330	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_1_fs_1110mK.dat	7.31	1590	1627	NaN	NaN	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_2_fs_20mK.dat	2.0	112	149	156	193	200	237	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_2_fs_300mK.dat	2.0	363	400	411	448	457	494	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_2_fs_510mK.dat	2.0	593	630	634	671	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_2_fs_620mK.dat	2.0	767	804	813	850	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_2_fs_750mK.dat	2.0	969	1006	1133	1170	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_2_fs_910mK.dat	2.0	1206	1245	1339	1376	1380	1417	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF5_mode_2_fs_1110mK.dat	2.0	1646	1674	1676	1685	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF6_mode_1_fs_20mK.dat	15.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF6_mode_1_fs_320mK.dat	15.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF6_mode_1_fs_510mK.dat	15.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF6_mode_1_fs_620mK.dat	15.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF6_mode_1_fs_750mK.dat	15.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF6_mode_1_fs_910mK.dat	15.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2015-02-12\Fork_TF6_mode_1_fs_1110mK.dat	15.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2014-12-03\Fork_TF1_mode_1_fs_20mK.dat	5.90	840	863	869	899	901	948	NaN	NaN
d:\mff\!exp\data\fridge\2014-12-03\Fork_TF5_mode_1_fs_20mK.dat	7.31	190	208	211	251	NaN	NaN	NaN	NaN
d:\mff\!exp\data\fridge\2014-12-03\Fork_TF6_mode_1_fs_20mK.dat	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
